,id,question,option_a,option_b,option_c,option_d,answer,prediction
24,2-025,"Thực hiện phép tính sau: 18,7 – 2 \times 1,3","A. 15,1","B. 16,1","C. 14,1","D. 13,1",B,C
25,2-026,"Hình tam giác có chiều cao 1,5 dm, đáy 8 dm. Vậy diện tích hình là bao nhiêu",A. 6 dm^{2},B. 8 dm^{2},C. 3 dm^{2},"D. 3,9 dm^{2}",A,A
26,2-027,Số lớn nhất trong các số sau là:,"A. 7,85","B. 7,58","C. 8,57","D. 8,75",D,D
27,2-028,"Trong các số thập phân dưới đây, chữ số 5 của số thập phân nào chỉ hàng phần trăm","A. 523,41","B. 122,15","C. 225,19","D. 423,51",B,B
28,2-029,"Chữ số 3 trong số 45,2638 có giá trị là:",A. \frac{3}{1000},B. \frac{3}{10000},C. \frac{3}{100},D. \frac{3}{10},A,A
29,2-030,Ba đơn vị bốn phần nghìn là:,"A. 3,400",B. 34000,"C. 3,04","D. 3,004",D,A
30,2-031,"Một mảnh vườn hình chữ nhật có chiều dài 28m,chiều rộng 12,5m. Tính diện tích của mảnh đất ấy:",A. 350m^{2},B. 336m^{2},C. 375m^{2},D. 275m^{2},A,B
31,2-032,"Tám đơn vị, ba phần trăm được viết dưới dạng hỗn số là",A. 8 \frac{30}{100},B. 8 \frac{3}{10},C. 8 \frac{3}{100},D. 8 \frac{300}{10},C,C
32,2-033,Tìm chiều dài của một đoạn dây điện biết 20% chiều dài là 12m,"A. 2,4 m",B. 60 m,"C. 0,26 m",D. 12m,B,6
33,2-034,"Số thập phân “tám đơn vị, hai phần nghìn” được viết là:",A. 8,"B. 8,2","C. 8,002","D. 8,02",C,B
34,2-035,"Chữ số 7 trong số thập phân 26,475 có giá trị là:",A. \frac{7}{10},B. \frac{7}{100},C. 7,D. \frac{7}{1000},B,B
35,2-036,"Một số thập phân chia 0,1 bằng số đó nhân với........",A. 100,B. 1,C. 10,D. \frac{1}{10},C,D
36,2-037,"Một chiếc ô tô bắt đầu di chuyển từ thành phố X lúc 7 giờ 30 phút và đến đến thành phố Y lúc 10 giờ. Biết rằng vận tốc của ô tô là 80 km/giờ. Hỏi, độ dài của quãng đường từ thành phố X đến thành phố Y là bao nhiêu?",A. 12500m,B. 200km,C. 135km,D. 13500m,B,C
37,2-038,Hình chữ nhật có diện tích 900cm^{2}. Một cạnh có chiều dài gấp bốn lần cạnh còn lại. Hỏi cạnh dài hơn có chiều dài bao nhiêu ?,A. 150mm,B. 300mm,C. 600mm,D. 900mm,C,C
38,2-039,Một ô tô đi quãng đường AB dài 100 km trong 2 giờ. Hỏi ô tô đi với tốc độ bao nhiêu km giờ?,A. 80 Km/giờ,B. 60 km/giờ,C. 50 km/giờ,D. 48 km/giờ,C,C
39,2-040,Biến đổi 6 \frac{2}{100} sang dạng số thập phân,"A. 6,02","B. 6,002",C. 462,D. 62,A,A
40,2-041,Tỉ số phần trăm của 19 và 76 là:,"A. 0,25%","B. 2,5%",C. 25%,D. 76%,C,A
41,2-042,Viết kết quả đúng:  3cm^2 85 mm^2=… cm^2,"A. 3,85","B. 3,0085","C. 0,385","D. 38,5",A,C
42,2-043,Gỗ tươi chứa 30% nước. Vậy gỗ sau khi sấy khô hết nước thì còn bao nhiêu phần trăm so với ban đầu chưa sấy.,A. 70%,B. 16%,C. 80%,"D. 76,875%",A,A
43,2-044,"Giá trị của chữ số 7 trong số thập phân 45,872 là:",A. \frac{7}{100},B. \frac{7}{1000},C. \frac{7}{10},D. 7,A,B
44,2-045,Ngày 28 tháng 4 là thứ sáu. Ngày 2 tháng 5 là thứ mấy?,A. Thứ tư,B. Thứ ba,C. Thứ năm,D. Chủ nhật,B,C
45,2-046,Tỷ lệ giữa 20 và 1200 là:,"A. 1,67%",B. 67%,"C. 16,67%",D. 25%,A,C
46,2-047,"Một quả mít có cân nặng 4\frac{4}{8}kg, còn quả bưởi có cân nặng là 2\frac{3}{6} kg. Hỏi quả mít và quả bưởi có cân nặng bao nhiêu ki-lô-gam?",A. 2.5,B. 4.5,C. 7,D. 8,C,C
47,2-048,"Diện tích hình tam giác có độ dài đáy 2,5m và chiều cao 1,8m là:",A. 4 m^{2},B. 2 m^{2},"C. 1,6 m^{2}","D. 2,25 m^{2}",D,D
48,2-049,"Kết quả của phép chia 85 \div 0,01 \times 0.1 là",A. 850,"B. 8,5",C. 8500,D. 85,A,B
49,2-050,"Phép tính (60,2 + 2,12) / 0,1 có kết quả là:","A. 62,5","B. 6,32","C. 62,32","D. 623,2",D,A
50,2-051,"Cho dãy số 11, 12, 13, 14, 15, 16, 17, 18, 19,20. Số hạng thứ 8 của dãy số cộng thêm 3 đơn vị bằng bao nhiêu?",A. 18,B. 19,C. 20,D. 21,C,D
51,2-052,"Số 938,275 giá trị của chữ số 7 là:",A. 7 phần nghìn,B. 7 chục,C. 7 phần mười,D. 7 phần trăm,D,C
52,2-053,"Nếu chỉ lấy đến hai chữ số của phần thập phân của thương khi chia 33,14 cho 60 thì số dư là","A. 0,08","B. 0,4","C. 0,14","D. 0,004",C,A
53,2-054,Số học sinh nữ của lớp 5B là 21 và chiếm 60% số học sinh cả lớp. Hỏi lớp 5B có bao nhiêu học sinh:,A. 40,B. 25,C. 20,D. 35,D,A
54,2-055,"Tính giá trị của biểu thức: 2,98 + 1 \times 12 là:","A. 22,22","B. 12, 24","C. 10,00","D. 14,98",D,B
55,2-056,Kết quả của: 12giờ 32 phút \div 4 = ........ là:,A. 3 giờ 10 phút,B. 4 giờ 21 phút,C. 3 giờ 8 phút,D. 3 giờ 7 phút,C,B
56,2-057,Tính Diện tích của hình chữ nhật biết chiều dài là 15cm và chiều rộng bằng 1/2 chiều dài trừ thêm 1/2cm.,A. 43cm^{2},B. 120cm^{2},C. 86cm^{2},D. 105cm^{2},D,C
57,2-058,"Tổng của dãy số 1, 4, 7, 10, 13, 16, ..., 94, 97, 100, 103 là:",A. 1714,B. 1720,C. 1820,D. 1814,C,B
58,2-059,Dãy số được xếp theo thứ tự từ bé đến lớn là:,"A. 0,5; 0,14; 0,41; 0,375","B. 0,5; 0,41; 0,375; 0,14","C. 0,14; 0,375; 0,41; 0,5","D. 0,14; 0,375; 0,5; 0,41",C,D
59,2-060,"Lan nghĩ ra 1 số tự nhiên có 4 chữ số, biết rằng nếu xoá đi chữ số hàng ngàn và hàng trăm thì số đó giảm đi 71 lần. Vậy số đó là số nào trong các số dưới đây:",A. 1220,B. 1420,C. 1319,D. 1207,D,A
60,2-061,6ha 5dam^{2} =........ ha. Số thích hợp viết vào chỗ chấm là:,"A. 6,5","B. 6,50","C. 6,05",D. 650,A,B
61,2-062,Hai lớp A và B được phân công quét một nửa sân trường. Hai lớp bắt đầu quét cùng một lúc. Sau 20 phút lớp A quét xong phần sân được giao và tiếp tục sang quét cùng lớp B thêm 4 phút nữa thì hai lớp quét xong cả sân trường. Hỏi nếu chỉ 1 mình lớp B quét không có lớp A thì trong bao lâu sẽ xong toàn bộ sân trường.,A. 30 phút,B. 25 phút,C. 40 phút,D. 60 phút,D,D
62,2-063,Tổng của số chẵn lớn nhất có ba chữ số và số liền sau của số bé nhất có hai chữ số là:,A. 1000,B. 1008,C. 1009,D. 1108,D,D
63,2-064,Năm nhuận có bao nhiêu ngày.,A. 355,B. 366,C. 377,D. 365,B,B
64,2-065,"Số thập phân 0,5 được viết dưới dạng phân số là số nào? Khoanh vào đáp án đúng:",A. \frac{5}{100},B. \frac{5}{10},C. \frac{0}{5},D. \frac{0}{50},B,A
65,2-066,"Chữ số 6 trong số 157,62 chỉ:",A. 6 phần mười,B. 6 phần trăm,C. 6 đơn vị,D. 6 chục,A,B
66,2-067,Hai trăm mười phẩy ba mươi lăm có dạng nào sau đây:,"A. 210,35","B. 21,035","C. 210,345","D. 2,1035",A,C
67,2-068,"Kết quả của phép tính 5645,78 + 212,22",A. 5857,"B. 3821,2","C. 1781,1",D. 5858,D,C
68,2-069,"0,5% = ?",A. \frac{5}{10},B. \frac{5}{100},C. \frac{5}{1000},D. \frac{5}{10000},C,B
69,2-070,"Điền đáp án đúng vào dấu .... dưới đây:
3km 480m = ……..km.","A. 3,048","B. 3,48",C. 348,D. 3048,B,A
70,2-071,Kết quả của hỗn số 5 \frac{4}{5} - 3 \frac{4}{5} - \frac{1}{2} là:,A. \frac{15}{10},B. \frac{12}{5},C. \frac{15}{5},D. \frac{29}{5},A,D
71,2-072,"Một hình chữ nhật có chiều rộng 15 m và chiều dài gấp 5 lần, thì diện tích hình chữ nhật trên là:",A. 1125m^{2},B. 1225m^{2},C. 75m^{2},D. 275m^{2},A,A
72,2-073,"Đổi:  0,12 m^{2} = ………. dm^{2}",A. 120,B. 12,C. 1200,D. 12000,B,C
73,2-074,Dấu lớn ( >) ở cặp số:,A. 8000.....7999 + 1,B. 78659.....76860,C. 9000 + 900......10000,D. 9000.....9000,C,C
74,2-075,"Một tấm bìa hình chữ nhật có chiều dài 21,3cm, chiều rộng 12,5cm. Tính diện tích miếng bìa đó.","A. 266,15cm^{2}","B. 265,25cm^{2}","C. 2662,5cm^{2}","D. 266,25cm^{2}",D,B
75,2-076,Cho biết kết quả của 584g = …. kg là bao nhiêu,"A. 58,4kg","B. 0,584kg","C. 0,584kg","D. 0,0584kg",C,A
76,2-077,"Tính thể tích của hình hộp chữ nhật  dài 7cm, rộng 5cm và chiều cao bằng 8/5 của chiều rộng là:",A. 280 cm^{3},B. 280 cm^{2},C. 240 cm^{2},D. 240 cm^{3},A,D
77,2-078,"Cho một số có 2 chữ số, biết rằng tổng của 2 chữ số là 10 và tích của 2 chữ số sau cộng thêm 4 là 25 và chữ số ở hàng đơn vị lớn hơn số ở hàng chục. Vậy số đó là số nào trong các số dưới đây:",A. 82,B. 28,C. 37,D. 73,D,B
78,2-079,Hình vuông có chu vi 576 cm thì cạnh của hình vuông đó là:,A. 9cm,B. 6cm,C. 144cm,D. 234cm,C,C
79,2-080,Thời gian từ  8 giờ 50 phút tối đến 9 giờ 35 phút sáng hôm sau là:,A. 1655 phút,B. 1765 phút,C. 755 phút,D. 765 phút,D,A
80,2-081,"Người ta xây một bể nước, chiều dài 20 m, chiều rộng 15 m, một khu có độ sâu 0,2 m, một khu có độ sâu 2 m, hai khu có diện tích mặt nước bằng nhau. Muốn khoảng cách giữa mặt nước và mặt bể là 10cm thì lượng nước cần xả là bao nhiêu (bể chưa có nước).","A. 52,5 m^{3}","B. 67,5 m^{3}",C. 100 m^{3},D. 60 m^{3},D,A
81,2-082,Hỗn số 2 \frac{3}{4} được viết dưới dạng số thập phân là:,"A. 2,3","B. 2,4","C. 2,75","D. 2,70",C,C
82,2-083,"An đi học lúc 6 giờ 45 phút, An chờ xe bus trong 30 phút và xe bus di chuyển mất 15 phút. Vậy An tới trường lúc mấy giờ?",A. 7 giờ 25 phút,B. 8 giờ 25 phút,C. 7 giờ 15 phút,D. 7 giờ 30 phút,D,A
83,2-084,"Trong các số 5,686; 5,668; 5,678; 5,716, số bé nhất là:","A. 5,686","B. 5,668","C. 5,678","D. 5,716",B,B
84,2-085,"Số thập viết gồm 50 đơn vị, 8 phần trăm, 3 phần nghìn được viết là:","A. 50,8","B. 50,083","C. 50,830","D. 50,803",B,B
85,2-086,"Trong các số 9,99; 9,9; 9,98; 9,89 , số nào là số lớn nhất:","A. 9,99","B. 9,9","C. 9,98","D. 9,09",A,A
86,2-087,"Một bể nước hình hộp chữ nhật có chiều dài 3m chiều rộng 2m và chiều cao 1,5m. Bể hiện đang chứa đầy nước sau đó người ta lấy ra 50 thùng nước, dung tích của mỗi thùng là 40 lít, tiếp đến người ta lại dùng máy bơm để hút thêm 1/2 lượng nước có trong bể. Hỏi lượng nước còn lại trong bể là bao nhiêu?",A. 7000,B. 3500,C. 8000,D. 4000,A,C
87,2-088,"Giá trị của chữ số 2 trong số thập phân 879,427 là:",A. \frac{2}{10},B. \frac{2}{1000},C. 20,D. \frac{2}{100},D,B
88,2-089,"Trong số 91,0938 giá trị của chữ số 3 là",A. \frac{3}{100000},B. \frac{3}{1000},C. \frac{3}{100},D. \frac{3}{10},B,A
89,2-090,"Trong các số có 3 chữ số dưới đây, số nào có hàng trăm trừ hàng chục bằng hàng đơn vị:",A. 852,B. 210,C. 321,D. 744,C,D
90,2-091,"Phép chia 23,45 \div 7 có kết quả đúng là","A. 3,5","B. 3,05",C. 4.5,D. 3.35,D,D
91,2-092,"Số chia hết cho cả 2, 5 và 9 là:",A. 1370,B. 2576,C. 85324,D. 6030,D,B
92,2-093,"Số lớn nhất trong các số: 9,899; 9,98; 9,89; 8,99 là:","A. 9,89","B. 9,899","C. 9,98","D. 8,99",C,C
93,2-094,Trung bình cộng của 4 số: 45; 23; 68 và a là 96. Tìm a.,A. 228,B. 248,C. 288,D. 328,B,B
94,2-095,"Cho tam giác có độ dài cạnh đáy là 5,1cm, chiều cao là 3,5cm. Tính diện tích của tam giác đó","A. 27,3 cm^{2}","B. 5,35 cm^{2}","C. 8,925 cm^{2}",D. 10.7cm^{2},C,C
95,2-096,Dạng số thập phân của 5 \frac{8}{100} + 1 \frac{3}{100} là,"A. 6,11","B. 5,008","C. 5,08","D. 6,10",A,D
96,2-097,"Một hình lập phương có cạnh là 3,5m. Tính thể tích của hình lập phương đó:","A. 42,875 m^{3}","B. 12,25 m^{3}",C. 27 m^{3},D. 27 m^{3},A,D
97,2-098,"Tuấn có 15 viên bi, Kiên có số bi bằng 2/3 số bi của Tuấn còn Pháp có số bi bằng tổng số bi của Tuấn và Kiên. Hỏi Pháp có bao nhiêu viên bi?",A. 15,B. 20,C. 25,D. 30,C,C
98,2-099,Một người đi xe máy trong 2 giờ được 40 km. Vận tốc của người đi được là:,A. 20 km,"B. 2,5 km/giờ",C. 40 giờ,D. 20 km/giờ,D,D
99,2-100,"Bạn Lan nghĩ ra được 1 số có 3 chữ số, nếu số đó cộng với 10 sau đó chia cho 10 thì được thương là 12 và dư 5, hãy tìm số đó.",A. 105,B. 115,C. 125,D. 145,A,1
100,2-101,Tính diện tích xung quanh của khối gỗ hình lập phương có cạnh 5 dm:,A. 100dm^{2},"B. 37,5dm^{2}","C. 6,25dm^{2}",D. 25dm^{2},A,A
101,2-102,Tính diện tích của một hình chữ nhật dài 102cm và rộng 10cm:,A. 1020 cm^{2},"B. 10,22 cm^{2}",C. 12 cm^{2},D. 120 cm^{2},A,A
102,2-103,Diện tích của nửa viên gạch hình vuông có cạnh 30cm là:,A. 90cm^{2},B. 45cm^{2},C. 900cm^{2},D. 450cm^{2},D,A
103,2-104,"Số 40,12 có phần thập phân là:",A. 12,B. \frac{12}{10},C. \frac{12}{100},D. \frac{12}{1000},A,B
104,2-105,Cho phân số \frac{16}{5}. Nếu cộng thêm vào tử số và mẫu số của phân số đã cho cùng một số tự nhiên x thì ta được một phân số mới bằng 2. Hỏi \frac{x}{2}+\frac{1}{(x+2)} bằng bao nhiêu?,A. \frac{16}{5},B. \frac{7}{3},C. \frac{11}{4},D. \frac{25}{8},C,B
105,2-106,"Có 20 viên bi, trong đó có 3 viên bi đỏ, 4 viên bi xám, 5 viên bi đen, 8 viên bi trắng. Như vậy 1/4 số viên bi có màu là:",A. Đỏ,B. Xám,C. Đen,D. Trắng,B,D
106,2-107,Số thập phân thích hợp viết vào chỗ chấm để 12tấn5kg =……tấn là:,"A. 12,005","B. 12,0005","C. 12,05",D. 12005,A,B
107,2-108,Đổi: 2 giờ 60phút = .................phút là:,"A. 2,6",B. 90,C. 120,D. 180,D,C
108,2-109,Điền số thích hợp: 8m^{2} 8dm^{2} = ……..m^{2},"A. 8,8","B. 8,80","C. 8,08","D. 8,008",C,B
109,2-110,Một cửa hàng buổi sáng bán được 1/2 số truyện tranh có trong cửa hàng và buổi chiều bán thêm được 2/9 số truyện thì còn lại 15 quyển truyện tranh trong cửa hàng. Hỏi tổng số quyển truyện tranh bán được trong buổi sáng là bao nhiêu?,A. 39,B. 30,C. 27,D. 24,C,C
110,2-111,Kết quả của phép tính sau đây là bao nhiêu: 1\frac{2}{3} + 2\frac{3}{4} + 3\frac{4}{5} + 4\frac{5}{6} + \frac{2}{3} + \frac{3}{4} + \frac{4}{5} + \frac{5}{6},A. \frac{161}{10},B. \frac{163}{10},C. \frac{171}{10},D. \frac{173}{10},B,C
111,2-112,Tính tỉ số phần trăm giữa số học sinh nữ và tổng số học sinh cả lớp biết số học sinh nữ là 20 và số học sinh nam là 25.,"A. 44,44%","B. 66,66%",C. 40%,D. 60%,A,C
112,2-113,Số thập phân của phân số \frac{300}{500},A. \frac{30}{100},B. \frac{6}{10},"C. 0,6","D. 0,35",C,C
113,2-114,Tính tổng S = 1/2 + 1/4 + 1/8 + ………………… + 1/128 + 1/256,A. 1,B. 1 + 1/256,C. 1 - 1/256,D. 1/256,C,A
114,2-115,Chu vi hình chữ nhật có chiều dài \frac{5}{2} m và chiều rộng \frac{1}{2} m là:,A. \frac{3}{4} m,B. \frac{6}{4} m,C. 4 m,D. 6 m,D,C
115,2-116,"Viết số thích hợp vào dấu 3 chấm :
32 tấn 9 kg = ... kg",A. 3209,B. 32009,C. 3290,D. 32090,B,B
116,2-117,Một hình thang có độ dài hai đáy lần lượt là 26cm và 64cm. Diện tích hình thang 324 cm2 thì chiều cao là:,"A. 7,2cm",B. 36cm,C. 72cm,"D. 3,6cm",A,C
117,2-118,\frac{11}{25} có dạng phân số thập phân là:,A. \frac{11}{100},B. \frac{25}{100},C. \frac{44}{100},D. \frac{4}{100},C,A
118,2-119,Một ô tô đi trên quãng đường AB dài 135 km trong 3 giờ. Vận tốc của ô tô là:,A. 45 km/giờ,B. 40 km/giờ,C. 55 km/giờ,D. 65 km/giờ,A,B
119,2-120,"Tìm chiều cao của hình hộp chữ nhật biết hình hộp chữ nhật dài 20dm, rộng 6dm và có thể tích là 300dm^{3}",A. 10dm,"B. 2,5dm",C. 8dm,D. 6dm,B,C
120,2-121,"Có 2 hình chữ nhật bằng nhau, biết một hình chữ nhật có chu vi bằng 40dm và một cạnh của hình chữ nhật đó có độ dài 5dm. Hỏi diện tích của 2 hình chữ nhật là bao nhiêu?",A. 75dm^{2},B. 100dm^{2},C. 125dm^{2},D. 150dm^{2},B,C
121,2-122,"Bạn Lan có 18 nhãn vở, còn bạn Hiền có số nhãn vở bằng 2/3 số nhãn của Lan, bạn Pháp có số nhãn vở bằng trung bình cộng của Lan và Hiền. Hỏi Pháp có bao nhiêu nhãn vở?",A. 15,B. 20,C. 25,D. 30,A,C
122,2-123,Phân số \frac{2}{20} có dạng số thập phân là:,"A. 1,5","B. 2,0","C. 0,02","D. 0,1",D,C
123,2-124,"Trong các số 12,895; 12,891; 12,901; 12,894. Số thập phân bé nhất là:","A. 12,895","B. 12,891","C. 12,901","D. 12,894",B,B
124,2-125,Tính diện tích của một hình tam giác có độ dài cạnh đáy 4dm và chiều cao 1dm:,"A. 5,4d m^{2}","B. 10,8 dm^{2}","C. 2,7 dm^{2}",D. 2 dm^{2},D,B
125,2-126,Khi đánh số trang của một cuốn sách từ trang 90 đến 110  ta cần dùng bao nhiêu chữ số.,A. 33,B. 43,C. 53,D. 63,C,B
126,2-127,"Một ô tô đi với vận tốc 60km/giờ, đi được trong 150 phút. Tính quãng đường mà ô tô đi được",A. 150 km,B. 480 km,C. 420 km,D. 300 km,A,C
127,2-128,"Trong số thập phân 58,3072, chữ số 7 có giá trị là:",A. \frac{7}{10},B. \frac{7}{100},C. \frac{7}{1000},D. 7,C,C
128,2-129,"Số thập phân gồm có: 5 nghìn, 2 đơn vị, 2 phần nghìn được viết là:","A. 50002,0002","B. 5002,002","C. 5000,2002","D. 5002,0002",B,C
129,2-130,Hỗn số 5 \frac{2}{3} được viết dưới dạng phân số là:,A. \frac{17}{3},B. \frac{13}{3},C. \frac{17}{5},D. \frac{15}{2},A,C
130,2-131,"Hình hộp chữ nhật có chiều dài 1,5 cm chiều rộng 1,2 cm và chiều cao 0,5 cm. Thể tích hình hộp chữ nhật là:","A. 0,9 cm^{2}","B. 2,7 cm^{2}","C. 0,9 cm^{3}",D. 9 cm^{3},C,D
131,2-132,"Kết quả của phép tính 6,7 + 8 + 7,7 là:","A. 12,7","B. 24,4","C. 22,4","D. 15,7",C,B
132,2-133,"Tính thể tích của ba hình hộp chữ nhật biết chiều dài 8 cm, chiều rộng 4cm, chiều cao 2cm.",A. 450 cm^{3},B. 180 cm^{3},C. 192 cm^{3},D. 210 cm^{3},C,C
133,2-134,Dệt 5 chiếc khăn mặt hết 250g sợi. Hỏi dệt 30 chiếc khăn mặt như thế thì hết bao nhiêu gam sợi?,A. 3500g,B. 2000g,C. 4000g,D. 1500g,D,C
134,2-135,"Diện tích của hình chữ nhật có chiều dài 22cm, chiều rộng 16,5 cm","A. 3,625 cm^{2}","B. 36,25 cm^{2}","C. 362,3 cm^{2}",D. 363 cm^{2},D,B
135,2-136,"Hình hộp chữ nhật có chiều dài 1dm, chiều rộng 2cm, chiều cao 5cm thì thể tích hình hộp chữ nhật là:",A. 10 dm^{3},B. 10 dm^{3},"C. 0,1 dm^{3}",D. 1 dm^{3},B,B
136,2-137,Hỏi: 36 phút = ...giờ,"A. 0,5 giờ","B. 0,25 giờ","C. 0,75 giờ","D. 0,6 giờ",D,A
137,2-138,"Khi lấy 669,23 trừ cho 245,65 ta được:","A. 70,54","B. 700,54","C. 423,58","D. 700,54",C,C
138,2-139,"Kết quả của phép tính 25,8 \times  3,5 là:","A. 90,30","B. 9,030","C. 903,0",D. 9030,A,B
139,2-140,"Chữ số 5 trong số thập phân 7,256 thuộc hàng nào ?",A. Hàng đơn vị,B. Hàng phần trăm,C. Hàng phần mười,D. Hàng phần nghìn,B,C
140,2-141,"Tính thể tích hình chữ nhật biết chiều dài 3,2m; chiều rộng 1,2m; chiều cao 1m:",A. 6m^{2},"B. 3,68 m","C. 3,68m^{2}","D. 3,84m^{3}",D,C
141,2-142,"Tìm số có 3 chữ số, trong đó chữ số hàng đơn vị bằng 1/6 lần chữ số hàng chục và chữ số hàng trăm chia cho 5 số dư là 4.",A. 461,B. 561,C. 661,D. 961,D,C
142,2-143,"Kết quả của phép chia 34,254 : 0,01 là:","A. 3,4254","B. 34,254","C. 342,54","D. 3425,4",D,A
143,2-144,"Chữ số 5 trong số 1695,7 chỉ:",A. 5 đơn vị,B. 5 phần mười,C. 5 chục,D. 5 phần trăm,A,B
144,2-145,Một nhân viên cửa hàng buổi sáng bán được 1/2 số táo và buổi chiều bán thêm được 2/9 số táo thì còn lại 15 quả táo trong cửa hàng. Hỏi số quả táo có trong cửa hàng trước khi bán là bao nhiêu?,A. 50,B. 54,C. 58,D. 62,B,C
145,2-146,"Nếu chia 812,6 cho 4 và thương chỉ lấy 2 chữ số ở phần thập phân thì số dư là:",A. 8,"B. 0,8","C. 0,15","D. 1,5",C,B
146,2-147,Tìm thương và số dư trong phép chia 78:4,A. Thương 19 dư 2,B. Thương 17 dư 4,C. Thương 19 dư 4,D. Thương 17 dư 2,A,B
147,2-148,"Kết quả của phép tính: 84,32−24,32",A. 70,B. 84,C. 60,D. 80,C,C
148,2-149,Số thập phân thích hợp điền vào chỗ trống: 2cm^{2} 7mm^{2} = . . . . . .  cm^{2},A. 27,"B. 2,7","C. 2,007","D. 2,07",D,C
149,2-150,"Tìm chữ số X, biết: 7,5 \times 8 < 7,578 \times X",A. X = 7,B. X = 8,C. X = 6,D. X = 0,B,B
150,2-151,Trong năm học vừa qua trường Thành Công A có 30 bạn thi học sinh giỏi hai môn Toán và Tiếng Việt. Trong số đó có 17 bạn thi môn Toán và 16 bạn thi môn Tiếng Việt. Hỏi Trường có bao nhiêu bạn thi cả hai môn?,A. 5,B. 3,C. 15,D. 17,B,C
